2021-03-11 14:09:14,944 [13] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Price' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:09:14,944 [13] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Cost_Price' on entity type 'Cost'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:09:14,944 [13] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Qty' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:09:14,944 [13] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalPrice' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:09:14,944 [13] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'TotalAmount' on entity type 'Transation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:10:34,777 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2021-03-11 14:10:34,784 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2021-03-11 14:10:34,784 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: C:\Git\BlazorPeojects\OrderSysManagement
2021-03-11 14:10:38,676 [15] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'AmountMet' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:10:38,677 [15] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Price' on entity type 'Article'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:10:38,677 [15] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Cost_Price' on entity type 'Cost'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
2021-03-11 14:10:38,677 [15] WARN  Microsoft.EntityFrameworkCore.Model.Validation - No type was specified for the decimal property 'Qty' on entity type 'TransArticle'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType()', specify precision and scale using 'HasPrecision()' or configure a value converter using 'HasConversion()'.
